display_rank,rank,TF,candidate_full_name,candidate_group,shared_marker,in_gremln_top25,in_genie3_top25,audited_provisional_tier,final_usable_tier,original_judge_tier,corrected_judge_tier,confidence,papers_returned,papers_entity_eligible,papers_relevant,primary_relevant_papers,broad_direct_causal_papers,qualifying_direct_papers,evidence_count_string,supporting_key_paper_count,supporting_key_paper_ids,assessment_cited_paper_ids,key_paper_count,key_paper_ids,direct_causal_glyph,entity_audit_status,entity_corrected,human_verification_status,audit_status,missing_reason,qualifying_direct_paper_ids,broad_direct_paper_ids
1,1,KIF22,kinesin family member 22,GREmLN specific,,True,False,none,,none,none,High,10,4,0,0,0,0,10 / 4 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
2,2,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,GREmLN specific,,True,False,moderate,,moderate,moderate,Moderate,10,10,2,1,1,0,10 / 10 / 2 / 1 / 0,1,PMC6094952,PMC6094952,1,PMC6094952,○,clean (no acronym collision),False,Pending human verification,Pending human verification,,,PMC6094952
3,3,HMGN3,high mobility group nucleosomal binding domain 3,GREmLN specific,,True,False,none,,none,none,High,10,0,0,0,0,0,10 / 0 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
4,4,HIRIP3,HIRA interacting protein 3,GREmLN specific,,True,False,none,,none,none,High,10,3,0,0,0,0,10 / 3 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
5,5,STAT4,signal transducer and activator of transcription 4,GREmLN specific,,True,False,none,,none,none,Moderate,10,6,0,0,0,0,10 / 6 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
6,6,SNAPC4,small nuclear RNA activating complex polypeptide 4,GREmLN specific,,True,False,none,,none,none,High,10,0,0,0,0,0,10 / 0 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
7,7,RBPJ,recombination signal binding protein for immunoglobulin kappa J region,GREmLN specific,,True,False,weak,,weak,weak,Moderate,10,10,2,2,2,0,10 / 10 / 2 / 2 / 0,2,PMC12068301;PMC9887061,PMC12068301;PMC9887061,2,PMC12068301;PMC9887061,○,clean (no acronym collision),False,not required,Automated audit complete,,,PMC12068301;PMC9887061
8,8,CREM,cAMP responsive element modulator,shared,●,True,True,moderate,,moderate,moderate,Low,10,8,1,1,0,0,10 / 8 / 1 / 1 / 0,1,PMC5165720,PMC5165720;PMC12286855,1,PMC5165720,○,"flagged non-key (1 wrong_entity, 0 ambiguous); tier unaffected",False,Pending human verification,Pending human verification,,,
9,9,STAU2,staufen double-stranded RNA binding protein 2,GREmLN specific,,True,False,none,,none,none,High,10,5,0,0,0,0,10 / 5 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
10,10,MLX,MAX dimerization protein MLX,GREmLN specific,,True,False,none,,none,none,High,10,4,0,0,0,0,10 / 4 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
11,11,STAT1,signal transducer and activator of transcription 1,shared,●,True,True,none,,none,none,Moderate,10,8,0,0,0,0,10 / 8 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
12,12,AHR,aryl hydrocarbon receptor,GREmLN specific,,True,False,moderate,,moderate,moderate,Moderate,10,8,2,2,1,1,10 / 8 / 2 / 2 / 1,2,PMC7419300;PMC3412388,PMC7419300;PMC3412388,2,PMC7419300;PMC3412388,●,clean (no acronym collision),False,Pending human verification,Pending human verification,,PMC7419300,PMC7419300
13,13,NFIL3,"nuclear factor, interleukin 3 regulated",GREmLN specific,,True,False,moderate,,moderate,moderate,Moderate,10,10,2,2,1,0,10 / 10 / 2 / 2 / 0,2,PMC11563780;PMC6802641,PMC11563780;PMC6802641,2,PMC11563780;PMC6802641,○,clean (no acronym collision),False,Pending human verification,Pending human verification,,,PMC6802641
14,14,SRP9,signal recognition particle 9,GREmLN specific,,True,False,none,,none,none,High,10,1,0,0,0,0,10 / 1 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
15,15,MSC,musculin,GREmLN specific,,True,False,none,,strong,none,Low,10,0,0,0,0,0,10 / 0 / 0 / 0 / 0,0,,,0,,○,corrected (removed 8 non-identity papers; rerun),True,not required,Entity corrected,,,
16,16,GTF3C2,general transcription factor IIIC subunit 2,GREmLN specific,,True,False,none,,none,none,High,10,1,0,0,0,0,10 / 1 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
17,17,ZBTB32,zinc finger and BTB domain containing 32,shared,●,True,True,weak,,weak,weak,Moderate,10,1,1,1,0,0,10 / 1 / 1 / 1 / 0,1,PMC5578684,PMC5578684,1,PMC5578684,○,clean (no acronym collision),False,not required,Automated audit complete,,,
18,18,TFDP1,transcription factor Dp-1,GREmLN specific,,True,False,none,,none,none,High,10,4,0,0,0,0,10 / 4 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
19,19,BCL3,BCL3 transcription coactivator,GREmLN specific,,True,False,moderate,,moderate,moderate,Moderate,10,10,4,3,3,0,10 / 10 / 4 / 3 / 0,3,PMC5414353;PMC12646068;PMC2660861,PMC5414353;PMC12646068;PMC2660861,3,PMC5414353;PMC12646068;PMC2660861,○,clean (no acronym collision),False,Pending human verification,Pending human verification,,,PMC2660861;PMC12646068;PMC5414353
20,20,ZNF706,zinc finger protein 706,GREmLN specific,,True,False,none,,none,none,High,10,1,0,0,0,0,10 / 1 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
21,21,ZNF121,zinc finger protein 121,GREmLN specific,,True,False,none,,none,none,High,10,0,0,0,0,0,10 / 0 / 0 / 0 / 0,0,,,0,,○,clean (no acronym collision),False,not required,Automated audit complete,,,
