TF,candidate_group,papers_returned,papers_entity_eligible,final_usable_tier,judgement_source,received_only_entity_eligible_papers,n_ineligible_in_original_packet,relevant_ineligible_ids,key_ineligible_ids,adjudication_note
AHR,gremln_only,10,8,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,2,,,Original LLM judge received the full retrieval packet (including 2 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
BCL3,gremln_only,10,10,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
BHLHE40,genie3_only,10,10,weak,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
CREM,shared,10,8,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,2,,,Original LLM judge received the full retrieval packet (including 2 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
CYCS,genie3_only,10,2,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,8,,,Original LLM judge received the full retrieval packet (including 8 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
EGR2,genie3_only,10,10,strong,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
EZH2,gremln_only,10,10,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
FOXM1,genie3_only,10,10,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
FOXP1,genie3_only,10,9,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,1,,,Original LLM judge received the full retrieval packet (including 1 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
GAR1,genie3_only,10,1,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,9,,,Original LLM judge received the full retrieval packet (including 9 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
GTF2A2,genie3_only,10,0,none,zero_eligible_retained_original_none,False,10,,,Zero entity-eligible papers; original judge (full packet) already none; final = none (no entity-filtered LLM re-judge under selective-rerun protocol)
GTF3C2,gremln_only,10,1,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,9,,,Original LLM judge received the full retrieval packet (including 9 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
