TF,candidate_full_name,candidate_group,gremln_rank,genie3_rank,exact_query,papers_returned,papers_entity_eligible,papers_relevant,relevant_primary_papers,direct_causal_papers,original_judge_tier,original_rubric_valid,entity_audit_status,entity_excluded_paper_ids,rerun_required,corrected_judge_tier,corrected_rubric_valid,final_usable_tier,confidence,key_eligible_paper_ids,retrieval_input_hash,judge_input_hash,judge_output_hash,human_check_status,notes
AHR,aryl hydrocarbon receptor,gremln_only,2,43,AHR TCR inhibition,10,8,2,2,1,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,moderate,PMC7419300;PMC3412388,86b66ad83a1a5fd63e2f6ab89d1eb0e2e9acacf36e2957439e4c699f84721051,31287af42d52026e6ca1491018f459fb9ed4790154adfacf0132df218222075e,8596a016832b4cbfae11fc650b27b451cfe98c90f3d6806e669bd485ebe77b10,verified,unchanged: entity gate removed no relevant/key paper
BCL3,BCL3 transcription coactivator,gremln_only,3,30,BCL3 TCR inhibition,10,10,4,3,3,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,moderate,PMC5414353;PMC12646068;PMC2660861,6f514df80d860637751f19355e6a78e440fd3a0e7ea37700a194f56a26c4059d,f8cc7629768a378c21ca9c5f5dd667ee6836ac1964b180dcc299fc2c2734d489,ea64230612ae8bce74438786d26d189f720259d3ba6f1748d23a9eb9ed89d76f,verified,unchanged: entity gate removed no relevant/key paper
BHLHE40,basic helix-loop-helix family member e40,genie3_only,5,7,BHLHE40 TCR inhibition,10,10,5,5,5,weak,True,clean (no acronym collision),,False,weak,True,weak,moderate,PMC10153201;PMC12632895;PMC9164498;PMC8293608,11a7f392f0ab5acf288d4797c5c1feeb0729328a364c43e295da191ea4eff933,08cc78928b4a685f0991dad908281af23f5c116015a44bdbdb0ed2ebe29101ef,39915d1d0a6427c9c64426247556012e630c1dd23f247377da900bc2456543a3,not_required,unchanged: entity gate removed no relevant/key paper
CREM,cAMP responsive element modulator,shared,2,18,CREM TCR inhibition,10,8,1,1,0,moderate,True,"flagged non-key (1 wrong_entity, 0 ambiguous); tier unaffected",PMC12641238,False,moderate,True,moderate,low,PMC5165720;PMC12286855,1cfdb3a7c4524e72a9e5dfab4bbc6f39380820d6b35d520f15cf95c4801b255a,e315bb03793aba4a6dd6ac25861058c997c2bce35834b7078c1b4fc265aba93c,c23c24052df25f3e0ba890f619ddd3fd9bda0d7b0f498ccb095f4d496c93c0ec,verified,unchanged: entity gate removed no relevant/key paper
CYCS,"cytochrome c, somatic",genie3_only,5,10,CYCS TCR inhibition,10,2,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,moderate,,7f34c5e058dd282cd94c7ed092ce81da7160a8b2394b82c002e88ec531ece68d,5ea0a59122e5ecf950be61f85231704f4dbe27059c99bdd8c793411d2632a9cd,460b2a9889c736e61912f01218c40534c68eb3caeaff204893231137c78fa2d1,not_required,unchanged: entity gate removed no relevant/key paper
EGR2,early growth response 2,genie3_only,6,1,EGR2 TCR inhibition,10,10,4,4,2,strong,True,clean (no acronym collision),,False,strong,True,strong,high,PMC3501351;PMC5439026;PMC5946152;PMC2944839,435939f2ca3a75151fb1a647014d7718e9207435c6ba27799bd6df0de727bd9e,9b71bde7a75fddac5ce271935337ce6d2c68e69f9f7e84ad19b7243537b393c6,2e30ecc97b0f71151292f63ad80796d692af81a84ad15585c1fd09a45c6d9f46,verified,unchanged: entity gate removed no relevant/key paper
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,gremln_only,1,31,EZH2 TCR inhibition,10,10,2,1,1,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,moderate,PMC6094952,5b84f70c6f10e9f47ec2d8affbec2532c4f241990958dcc9765bea855d967db1,b04e8cfe4d8c0f0108247808567bab537e5faff555964c6cedc87e4cbc6d0c23,ca871b22262845a1d1df311e8f33b10583e320ec362ae1f2946f9fcfa9b5496e,verified,unchanged: entity gate removed no relevant/key paper
FOXM1,forkhead box M1,genie3_only,4,15,FOXM1 TCR inhibition,10,10,3,3,0,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,moderate,PMC12515241;PMC9561767,320cc502d4b4474a8037333764e82ca8cfa07f2edf8e0aa65c936ad6647406c4,7237725c87f9eb559e16908cb7a1f5421048a37034f64e21cb15615506a94f3f,396daa5b4400d7b796e218a198200fe23d09ef26d6e2b59751807c04d5018168,verified,unchanged: entity gate removed no relevant/key paper
FOXP1,forkhead box P1,genie3_only,5,3,FOXP1 TCR inhibition,10,9,4,3,3,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,moderate,PMC6534289;PMC12487849;PMC13105002,e2a6542f31f3434101b385323e362a24ab8c754f0aec5c840bd5b1fc4bda764d,e40a8e352e904de70efd9ca4687c04190c74f69e3a824bac208e182c33c150dd,49dc2386e472bcf80111121132cb45ba5b6629dcb82e97f7f9d4d779d625747f,verified,unchanged: entity gate removed no relevant/key paper
GAR1,GAR1 ribonucleoprotein,genie3_only,4,12,GAR1 TCR inhibition,10,1,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,a94cecc8e7dff6661709b1e6d6e9bd2b10fcc801c280d4bccc43e7a7c7a81593,ba701e7c34db685220fc3b2efb879ca7ea655daa10394e06c98c2c6da0f10068,355728c6256058e02a8327cd5065861968b1b4e9a329b482b1ceac75627bcc01,not_required,unchanged: entity gate removed no relevant/key paper
