TF,in_old_chart,old_chart_rank,old_seed_status,in_current_union,current_candidate_group,old_displayed_mrna_status,old_displayed_timepoint,old_source_contrast,old_direction,BTLAvsTCR_1h_status,BTLAvsTCR_4h_status,BTLAvsTCR_24h_status,TCRvsUC_1h_status,TCRvsUC_4h_status,TCRvsUC_24h_status,source_threshold_result_BTLA_specific,reason_for_disagreement
AHR,False,,,True,GREmLN_specific,,,,,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,no_disagreement
ARID5B,True,16.0,not_seed,False,,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,old_candidate_outside_current_seed_excluded_top25
BACH2,True,9.0,BTLA_vs_TCR_seed,False,,++,4h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_qualifying,qualifying,old_positive_from_TCRvsUC_not_BTLA_specific;old_seed_inclusive_candidate_removed_by_seed_exclusion
BCL3,True,24.0,not_seed,True,GREmLN_specific,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,failed_qc,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
BHLHE40,True,6.0,not_seed,True,GENIE3_specific,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
CREM,True,11.0,not_seed,True,shared,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
CYCS,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
EGR2,True,5.0,not_seed,True,GENIE3_specific,++,1h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_qualifying,measured_qualifying,no_qualifying_signal,no_BTLA_specific_qualifying_signal_in_current_rule;old_positive_from_TCRvsUC_not_BTLA_specific
EZH2,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
FOSL2,True,18.0,not_seed,False,,·,1h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_BTLA_specific_qualifying_signal_in_current_rule;old_candidate_outside_current_seed_excluded_top25;old_positive_from_TCRvsUC_not_BTLA_specific
FOXM1,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
FOXP1,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
GAR1,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
GTF2A2,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
GTF3C2,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
HIRIP3,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
HIVEP3,True,3.0,not_seed,True,GENIE3_specific,·,24h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_qualifying,no_qualifying_signal,no_BTLA_specific_qualifying_signal_in_current_rule;old_positive_from_TCRvsUC_not_BTLA_specific
HMGN3,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
ID2,True,14.0,not_seed,True,GENIE3_specific,++,4h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,no_qualifying_signal,no_BTLA_specific_qualifying_signal_in_current_rule;old_positive_from_TCRvsUC_not_BTLA_specific
IRF8,True,4.0,not_seed,True,shared,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
JUN,True,22.0,not_seed,False,,++,1h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_BTLA_specific_qualifying_signal_in_current_rule;old_candidate_outside_current_seed_excluded_top25;old_positive_from_TCRvsUC_not_BTLA_specific
JUNB,True,2.0,not_seed,True,shared,++,1h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,measured_qualifying,no_qualifying_signal,no_BTLA_specific_qualifying_signal_in_current_rule;old_positive_from_TCRvsUC_not_BTLA_specific
KIF22,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
MAF,True,25.0,not_seed,True,GENIE3_specific,ns,,,,measured_no_qualifying_signal,failed_qc,failed_qc,failed_qc,failed_qc,failed_qc,no_qualifying_signal,no_disagreement
MDM2,True,15.0,not_seed,True,GENIE3_specific,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
MLX,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
MSC,False,,,True,GREmLN_specific,,,,,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,absent_from_assay_universe,no_disagreement
MYC,True,12.0,not_seed,True,GENIE3_specific,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
NFIL3,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
NR4A2,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,failed_qc,failed_qc,measured_no_qualifying_signal,failed_qc,failed_qc,no_qualifying_signal,no_disagreement
NR4A3,True,21.0,BTLA_vs_TCR_seed,False,,++,4h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,measured_qualifying,measured_qualifying,measured_qualifying,qualifying,old_positive_from_TCRvsUC_not_BTLA_specific;old_seed_inclusive_candidate_removed_by_seed_exclusion
PLAGL2,False,,,True,shared,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
POU2AF1,True,10.0,BTLA_vs_TCR_seed,False,,++,4h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_qualifying,qualifying,old_positive_from_TCRvsUC_not_BTLA_specific;old_seed_inclusive_candidate_removed_by_seed_exclusion
PRDM1,True,23.0,not_seed,True,shared,++,4h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,no_qualifying_signal,no_BTLA_specific_qualifying_signal_in_current_rule;old_positive_from_TCRvsUC_not_BTLA_specific
RBPJ,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
REL,True,8.0,BTLA_vs_TCR_seed,False,,·,4h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,qualifying,old_positive_from_TCRvsUC_not_BTLA_specific;old_seed_inclusive_candidate_removed_by_seed_exclusion
SATB1,True,1.0,not_seed,False,,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,old_candidate_outside_current_seed_excluded_top25
SMAP2,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
SNAPC4,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
SRP9,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
STAT1,True,7.0,not_seed,True,shared,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
STAT4,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
STAT5B,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
STAU2,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
TBX21,True,19.0,BTLA_vs_TCR_seed,False,,++,4h,TCR_vs_UC,up,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_qualifying,measured_no_qualifying_signal,qualifying,old_positive_from_TCRvsUC_not_BTLA_specific;old_seed_inclusive_candidate_removed_by_seed_exclusion
TFDP1,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
TGIF1,False,,,True,GENIE3_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
TRAF4,True,17.0,not_seed,True,GENIE3_specific,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
ZBTB32,True,13.0,not_seed,True,shared,ns,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
ZEB2,True,20.0,not_seed,True,GENIE3_specific,ns,,,,measured_no_qualifying_signal,failed_qc,failed_qc,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
ZNF121,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
ZNF706,False,,,True,GREmLN_specific,,,,,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,measured_no_qualifying_signal,no_qualifying_signal,no_disagreement
